name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
Gelataria Croissanteria Graça,Benfica,3.2,0,8 € for two people (approx.),Cash only,8
Bouças Bar,Moscavide,-,1,15 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,15
A Capoeira,Lapa-Estrela,3.2,0,8 € for two people (approx.),Cash only,8
Restaurante Santa Maria,Entrecampos,2.9,33,30 € for two people (approx.),Cash and Cards accepted,30
Bar da Praia,Cascais Centro,3.8,27,30 € for two people (approx.),Cash and Cards accepted,30
Degrau,Paço de Arcos,3.2,1,25 € for two people (approx.),Cash and Debit Cards accepted,25
Adega do Saraiva,Colares,4.1,151,40 € for two people (approx.),Cash only,40
Velho Macedo,Baixa,3.7,33,40 € for two people (approx.),Cash and Cards accepted,40
Ribs & Company,Odivelas Centro,4.5,"2,184",25 € for two people (approx.),Cash and Cards accepted,25
Grapes and Bites,Bairro Alto,4.1,75,80 € for two people (approx.) with alcohol,Cash and Cards accepted,80
A Taverna dos Piratas,Corroios,3.7,68,45 € for two people (approx.),Cash and Cards accepted,45
A Panificação Mecânica,Campo de Ourique,3.4,25,5 € for two people (approx.),Cash and Debit Cards accepted,5
Pastelaria Amanhecer,Póvoa de Santo Adrião,-,2,14 € for two people (approx.),Cash and Debit Cards accepted,14
Martínez by Lx Grill,Areeiro,4.1,628,25 € for two people (approx.),Cash and Cards accepted,25
Refeitório Associativo Hare Krishna,Saldanha,4.3,427,16 € for two people (approx.),Debit Cards accepted,16
Arca Doce - Casa dos Queques,Parede,3.9,26,8 € for two people (approx.),Cash only,8
Welcome,Alcântara,3.8,35,30 € for two people (approx.),Cash and Debit Cards accepted,30
Adrenalina Bar,Barreiro Centro,-,0,20 € for two people (approx.) with alcohol,Cash only,20
Galinha Gorda,Olivais,3.6,39,15 € for two people (approx.),Cash and Cards accepted,15
Snack Bar TenisLaranjeiras,São Domingos de Benfica,-,0,12 € for two people (approx.),Cash and Cards accepted,12
Dom Ricardo,Aldeia do Meco,3.8,33,30 € for two people (approx.),Cash and Cards accepted,30
Ard' Lenha,Moita Centro,3.8,51,18 € for two people (approx.),Cash only,18
Pastelaria d'Aguilha,São Domingos de Rana,-,2,6 € for two people (approx.),Cash only,6
Quiosque B&V,Torres Vedras Centro,-,3,12 € for two people (approx.),Cash only,12
Nook,Ericeira,3.7,23,30 € for two people (approx.),Cash and Debit Cards accepted,30
Bom Petisco,Atalaia,-,0,14 € for two people (approx.),Cash and Debit Cards accepted,14
Venda Nova,Venda Nova,-,0,10 € for two people (approx.),Cash only,10
Boteco da Francesinha,Mem Martins,3.5,5,15 € for two people (approx.),Cash only,15
Gelsiu,Carnide,2.9,15,8 € for two people (approx.),Cash only,8
A Pomarense,Avenida da Liberdade,3.1,9,10 € for two people (approx.),Cash and Debit Cards accepted,10
Santinhos,Turcifal,3.6,22,40 € for two people (approx.),Cash only,40
Restaurante Valente,Sobreda,3.5,6,20 € for two people (approx.),Cash and Cards accepted,20
Catemba,Carcavelos,3.7,11,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Samaritanas,Belas,3.2,2,15 € for two people (approx.),Cash and Cards accepted,15
"Gift, Cafetaria & Petiscos",Paço de Arcos,3.4,5,8 € for two people (approx.),Cash only,8
Leitaria Anunciada,Avenida da Liberdade,2.9,25,32 € for two people (approx.),Cash and Cards accepted,32
Carinho do Vinho,Príncipe Real,3.5,17,15 € for two people (approx.) with alcohol,Cash and Cards accepted,15
A Petisqueira,São João do Estoril,3.2,1,15 € for two people (approx.),Cash and Debit Cards accepted,15
Kwá Dóxi,Santos,3.8,32,30 € for two people (approx.),Cash and Debit Cards accepted,30
Confraria do Bonfim,Setubal Centro,3.6,27,20 € for two people (approx.),Cash only,20
A Flor da Laranja,Bairro Alto,4.0,70,35 € for two people (approx.),Cash and Debit Cards accepted,35
Pregoeiro de Carnide,Carnide,3.9,96,30 € for two people (approx.),Cash and Cards accepted,30
Ponto do Café,Cascais Centro,2.8,3,5 € for two people (approx.),Debit Cards accepted,5
Esplanada D. Dinis,Marvila,3.4,1,10 € for two people (approx.),Cash only,10
Pastelaria 4 Estações,Mem Martins,2.9,2,6 € for two people (approx.),Cash only,6
Grab & Go,Arroios,3.2,5,6 € for two people (approx.),Cash only,6
Pétala Azul,Alvalade,3.6,3,15 € for two people (approx.),Cash only,15
Barrosã,Areeiro,3.5,7,20 € for two people (approx.),"Cash, Debit Cards and Meal Coupons accepted",20
O Cantinho do António,Damaia,3.6,13,17 € for two people (approx.),Cash only,17
Traga Luz,Carcavelos,3.5,10,25 € for two people (approx.),Cash and Cards accepted,25
O Arcadas,Algés,-,0,5 € for two people (approx.),Cash only,5
Armazém da Cachaça,Lapa-Estrela,3.8,22,45 € for two people (approx.),Cash and Cards accepted,45
Signo Aquarius,Algés,2.8,8,12 € for two people (approx.),Cash and Cards accepted,12
Musgo Verde,Damaia,-,1,12 € for two people (approx.),Cash only,12
Pousadoiro - Sabores Ibéricos,Massamá,3.9,75,30 € for two people (approx.),Cash and Cards accepted,30
Pastelaria Lusitana,Torre da Marinha,-,0,10 € for two people (approx.),Cash only,10
Mocambo,Venteira,3.4,4,8 € for two people (approx.),Cash only,8
O Simões da Aldeia,Almargem do Bispo,3.8,41,30 € for two people (approx.),Cash and Debit Cards accepted,30
Trinca Forte,Beato,3.2,0,16 € for two people (approx.),Cash and Debit Cards accepted,16
Real Sports Bar - Hotel Real Parque,Saldanha,4.0,137,26 € for two people (approx.),Cash and Cards accepted,26
Sempre Sol Snack-Bar,Oeiras e São Julião da Barra,3.5,7,8 € for two people (approx.),Debit Cards accepted,8
Monalisa,Benfica,3.5,13,14 € for two people (approx.),Cash only,14
Come Prima,Lapa-Estrela,4.7,"1,864",60 € for two people (approx.),Cash and Debit Cards accepted,60
Cave Real,Saldanha,3.9,52,40 € for two people (approx.),Cash and Cards accepted,40
Tasquinha do Joy,Ericeira,3.8,91,35 € for two people (approx.),Cash and Cards accepted,35
Chique,Campolide,2.9,13,35 € for two people (approx.),Cash and Cards accepted,35
Ponto Final Café,São Pedro da Cadeira,-,3,6 € for two people (approx.),Cash and Cards accepted,6
Café Martinho,Santo Antão do Tojal,2.7,7,15 € for two people (approx.),Cash and Debit Cards accepted,15
Sacolinha,Venteira,4.1,149,8 € for two people (approx.),Cash only,8
Genuíno Atelier do Presunto,Campo de Ourique,3.6,11,12 € for two people (approx.),Cash and Cards accepted,12
Ovo de Colombo,Telheiras,3.5,85,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Fernandinho,Chiado,3.9,28,26 € for two people (approx.),Cash and Debit Cards accepted,26
Rainha das Baguetes 3,Setubal Centro,-,3,12 € for two people (approx.),Cash only,12
Taberna do Largo,Setubal Centro,4.2,184,20 € for two people (approx.),Cash and Cards accepted,20
Angels Bar,Carcavelos,2.9,61,15 € for two people (approx.),Cash and Cards accepted,15
Brown’s Bistro – Brown’s Boutique Hotel,Baixa,3.8,231,35 € for two people (approx.),Cash and Cards accepted,35
Stuppendo Sushi Bar,Paço de Arcos,4.2,211,50 € for two people (approx.),Cash and Cards accepted,50
Xenu,Marquês de Pombal,3.7,24,40 € for two people (approx.),Cash and Cards accepted,40
Campeão,Barreiro Centro,-,0,6 € for two people (approx.),Cash only,6
Abaco's Bar,Venteira,-,0,10 € for two people (approx.) with alcohol,Cash only,10
Tiffin Café Lisboa,Lapa-Estrela,4.0,24,20 € for two people (approx.),Cards only,20
Doner Bar,Arroios,3.7,33,12 € for two people (approx.),Cash only,12
Xin Yun,Barreiro Centro,3.9,54,25 € for two people (approx.),Cash and Debit Cards accepted,25
Pizzaria Va Bene,Arroios,3.5,10,25 € for two people (approx.),Cash and Debit Cards accepted,25
O Gaiteiro - Salão de Chá,Palmela Centro,3.8,50,15 € for two people (approx.),Cash only,15
Descobre Restaurante,Belém,4.2,211,50 € for two people (approx.),Cash and Cards accepted,50
O`Malta Bistrobar,São João,3.9,37,20 € for two people (approx.) with alcohol,Cash only,20
Aqui Peixe & Companhia,Costa da Caparica,3.2,5,30 € for two people (approx.),Cash and Debit Cards accepted,30
O Motorista,Póvoa de Santa Iria,3.7,21,20 € for two people (approx.),Cash only,20
Manhãs Fofas Bola de Mel,Benfica,3.5,16,6 € for two people (approx.),Cash and Debit Cards accepted,6
Golo de Benfica,Benfica,2.8,26,15 € for two people (approx.),Cash and Debit Cards accepted,15
O Santos,Santa Iria da Azóia,3.6,10,16 € for two people (approx.),Cash and Cards accepted,16
Caffè di Marzano,Chiado,4.2,84,30 € for two people (approx.),Cash and Cards accepted,30
Restaurante Central,Colares,3.8,30,30 € for two people (approx.),Cash and Cards accepted,30
Xapuri Bistro,Chiado,4.0,39,40 € for two people (approx.),Cash and Cards accepted,40
Tô na Onda,Oeiras e São Julião da Barra,3.4,85,30 € for two people (approx.),Cards only,30
Taberna Ti'Camila,Alfama,2.7,30,20 € for two people (approx.),Cash and Debit Cards accepted,20
Cores e Sabores 3,Setubal Centro,3.6,127,28 € for two people (approx.),Cash and Debit Cards accepted,28
Golfstar Pastelaria,Marvila,3.5,7,8 € for two people (approx.),Cash and Cards accepted,8
O Jacinto,Telheiras,4.2,217,60 € for two people (approx.),Cash and Cards accepted,60
Wines by Heart,Avenida da Liberdade,3.6,15,85 € for two people (approx.) with alcohol,Cash and Cards accepted,85
Quiosque do Bairro,Saldanha,2.8,13,12 € for two people (approx.),Cash only,12
Sol Nascente,São Domingos de Benfica,3.6,74,25 € for two people (approx.),Cash only,25
Amazonas,Sacavém,3.4,18,35 € for two people (approx.),Cash only,35
Pizzaria Surf-Sol,Sesimbra Centro,3.5,8,25 € for two people (approx.),Cash and Debit Cards accepted,25
Sala Thai,Alvalade,4.2,354,40 € for two people (approx.),Cash and Cards accepted,40
Valle Flôr - Pestana Palace,Alcântara,4.3,71,160 € for two people (approx.),Cash and Cards accepted,160
Cafetaria Mais Vale,São Domingos de Benfica,3.3,3,10 € for two people (approx.),Cash only,10
Doçaria Santa Cruz,Areeiro,2.9,7,8 € for two people (approx.),Cash only,8
Mundo dos Cheiros,São Domingos de Rana,3.4,8,15 € for two people (approx.),Cash only,15
Sabores do Poeta,Ramada,3.5,10,6 € for two people (approx.),Cash only,6
O Cantinho de Palma,São Domingos de Benfica,3.9,59,30 € for two people (approx.),Cash and Debit Cards accepted,30
"Arcádia, Casa do Chocolate - Areeiro",Areeiro,3.8,15,10 € for two people (approx.),Cash and Cards accepted,10
Pastelaria Pão Quente,Montijo Centro,-,0,12 € for two people (approx.),Cash and Debit Cards accepted,12
Paleta de Sabores,Feijó,4.0,70,30 € for two people (approx.),Cash and Debit Cards accepted,30
Pastelaria Barca Doce,Quinta do Conde,3.8,23,6 € for two people (approx.),Cash only,6
Boqueirāo ,Alcântara,-,0,20 € for two people (approx.),Cash and Cards accepted,20
Stanislav Café,Avenida da Liberdade,4.2,144,20 € for two people (approx.),Cash and Cards accepted,20
Corinto,Arroios,3.5,8,15 € for two people (approx.),Cash only,15
Dewal Divina Pizzaria,Massamá,3.9,68,30 € for two people (approx.),Cash and Cards accepted,30
Cervejaria Ponto Final,Cascais Centro,3.0,13,25 € for two people (approx.),Cash and Debit Cards accepted,25
A Tasca do Poeta,Alfama,3.5,8,25 € for two people (approx.),Cash only,25
Croissant & Companhia,Sintra Centro,3.5,26,6 € for two people (approx.),Cash only,6
Spot do Zé,Carcavelos,3.8,39,20 € for two people (approx.),Cash and Debit Cards accepted,20
Doce e Temperos,Rio de Mouro,-,1,20 € for two people (approx.),Cash only,20
Barzinho,Ericeira,3.5,7,15 € for two people (approx.) with alcohol,Cash and Cards accepted,15
Lisbon Garden Lounge,Pena,-,0,20 € for two people (approx.) with alcohol,Cash and Cards accepted,20
O Tacho,Santa Iria da Azóia,-,2,8 € for two people (approx.),Cash only,8
The Pint by Uncle's Bar,Bairro Alto,3.3,6,10 € for two people (approx.) with alcohol,Cash and Cards accepted,10
Pirate's Bay,Setubal Centro,3.8,119,20 € for two people (approx.),Cash only,20
Solar da Póvoa,Póvoa de Santo Adrião,3.2,1,20 € for two people (approx.),Cash only,20
Central da Estação,Damaia,-,1,8 € for two people (approx.),Cash only,8
Vanda,Alfragide,-,1,6 € for two people (approx.),Cash only,6
Gazeta Coffee House,Sintra Centro,3.5,24,14 € for two people (approx.),Cash and Cards accepted,14
Lumbini,Madragoa,3.9,78,30 € for two people (approx.),Cash and Cards accepted,30
A Tosta,Olivais,-,3,10 € for two people (approx.),Cash only,10
Spica,Oeiras e São Julião da Barra,3.6,13,8 € for two people (approx.),Cash only,8
Pãoloma,Torres Vedras Centro,-,0,8 € for two people (approx.),Cash only,8
aTÉ aO sUSHI tE cOMO,Benfica,3.7,10,40 € for two people (approx.),Cash and Cards accepted,40
Abano,Malveira da Serra,3.6,15,30 € for two people (approx.),Cash and Debit Cards accepted,30
Luz Café,São Domingos de Benfica,2.9,4,15 € for two people (approx.),Cash and Debit Cards accepted,15
Leitaria Aviz,Mouraria,3.7,17,20 € for two people (approx.),Cash and Cards accepted,20
Imperial,Sesimbra Centro,3.1,10,20 € for two people (approx.),Cash and Debit Cards accepted,20
Lounge Bar Mar Puro,Costa da Caparica,3.2,4,25 € for two people (approx.) with alcohol,Debit Cards accepted,25
Repeat,Paço de Arcos,-,3,20 € for two people (approx.),Cash and Debit Cards accepted,20
Cantinho do Mercado Municipal de Oeiras,Oeiras e São Julião da Barra,3.3,4,15 € for two people (approx.),Cash only,15
Cheiros e Aromas,Arroios,3.2,1,8 € for two people (approx.),Cash only,8
Café Peça e Pague,Parede,3.1,1,8 € for two people (approx.),Cash only,8
Jonubel,Ajuda,3.2,2,6 € for two people (approx.),Cash and Debit Cards accepted,6
A Karkaça - Panificação Reunida de Queluz,Queluz,3.0,0,8 € for two people (approx.),Cash only,8
Cervejaria do Bairro,Bairro Alto,3.7,56,30 € for two people (approx.),Cash and Debit Cards accepted,30
PaBiBu,São João,3.2,1,6 € for two people (approx.),Cash only,6
Sol Nascente,Santa Iria da Azóia,3.2,1,15 € for two people (approx.),Cash only,15
Camponesa das Beiras,Campo Pequeno,3.8,31,30 € for two people (approx.),Cash and Cards accepted,30
Dona Pólvora,Barcarena,3.4,10,25 € for two people (approx.),Cash and Cards accepted,25
A Petisqueira,Amora,-,1,25 € for two people (approx.),Cash only,25
A Cozinha do Pecado,Porto Salvo,3.9,26,20 € for two people (approx.),Cash only,20
Casa do Pescador,Montijo Centro,4.0,77,35 € for two people (approx.),Cash only,35
O Zé Carioca,Príncipe Real,3.6,11,15 € for two people (approx.),Cash only,15
O Moinho,São Brás,3.1,3,15 € for two people (approx.),Cash only,15
Menina e Moça - Livraria Bar,Cais do Sodré,3.8,46,20 € for two people (approx.),Cash only,20
Café Nicolau,Alcântara,3.2,2,6 € for two people (approx.),Cash only,6
A Castiça,Lumiar,3.8,44,20 € for two people (approx.),Cash only,20
A Gruta de Camões,Chiado,2.9,25,25 € for two people (approx.),Cash and Cards accepted,25
Taberna Anti-Dantas,Avenida da Liberdade,4.1,238,40 € for two people (approx.),Cash and Debit Cards accepted,40
Café O Jacinto,Algés,-,0,6 € for two people (approx.),Cash only,6
Queijadinha,Massamá,3.5,6,6 € for two people (approx.),Cash and Debit Cards accepted,6
Cotton Club Café,Anjos,3.0,4,9 € for two people (approx.),Cash only,9
Love Lisbon Hostel & Bar,Arroios,4.1,82,15 € for two people (approx.) with alcohol,Debit Cards accepted,15
A Quinta,Oeiras e São Julião da Barra,4.0,108,25 € for two people (approx.),Cash and Cards accepted,25
Mestre Gelateiro,Campo Grande,3.7,17,8 € for two people (approx.),Debit Cards accepted,8
O Escondidinho,São Domingos de Rana,3.1,7,10 € for two people (approx.),Cash only,10
Estrela,Olivais,-,0,20 € for two people (approx.),Cash and Debit Cards accepted,20
Palácio Belmonte,Castelo,3.6,7,20 € for two people (approx.),Cash and Debit Cards accepted,20
Taverna do Rogério,Carcavelos,4.3,358,30 € for two people (approx.),Cash and Debit Cards accepted,30
Grelhas,Guincho,4.1,144,50 € for two people (approx.),Cards only,50
Momentum Pasta Grill,Porto Salvo,3.5,13,20 € for two people (approx.),Cash only,20
Cá Tespero,Costa da Caparica,-,1,6 € for two people (approx.),Cash only,6
Mercearia de L Praino,Telheiras,4.1,79,40 € for two people (approx.),Cash and Debit Cards accepted,40
Brasil,Corroios,-,1,20 € for two people (approx.),Cash and Debit Cards accepted,20
The Tasting Room Wine & Tapas,Cascais Centro,3.8,20,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
