name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
Pita Kebab & Burguer House,Bairro Alto,3.5,9,12 € for two people (approx.),Debit Cards accepted,12
Churrascão,Corroios,2.7,33,25 € for two people (approx.),Cash only,25
Wall Street Bar - SANA Metropolitan,Entrecampos,3.5,5,23 € for two people (approx.) with alcohol,Cash and Cards accepted,23
Crispal,Queluz,3.6,6,15 € for two people (approx.),Cash only,15
Xi Hu,Cacém,3.7,80,23 € for two people (approx.),Cash and Cards accepted,23
Puro Malte,Ericeira,3.7,17,12 € for two people (approx.) with alcohol,Cash and Cards accepted,12
Mi Dai,Mouraria,4.1,61,20 € for two people (approx.),Cash only,20
Pastelaria Emílio Preto Rego,Sobreda,3.6,28,8 € for two people (approx.),Cash and Cards accepted,8
Tarquinio,Costa da Caparica,2.5,31,25 € for two people (approx.),Cash and Cards accepted,25
Os Canastras das Febras,Pinhal Novo,3.7,37,25 € for two people (approx.),Cash only,25
O Rosado,Mem Martins,3.5,3,20 € for two people (approx.),Cash only,20
D'vina Gulla,Saldanha,3.1,19,15 € for two people (approx.),Cash only,15
A Toca,Corroios,-,3,25 € for two people (approx.),Cash and Cards accepted,25
Kibo Sushi,Alvalade,4.3,177,25 € for two people (approx.),Cash and Debit Cards accepted,25
O Lutador,Alcântara,3.9,91,25 € for two people (approx.),Cash and Cards accepted,25
Sociedade dos Sabores,Santo Antão do Tojal,-,2,20 € for two people (approx.),Cash only,20
Churrasqueira Felisafrica,Queluz,-,0,8 € for two people (approx.),Cash and Cards accepted,8
Buonapizza,Saldanha,4.2,84,30 € for two people (approx.),Cash and Debit Cards accepted,30
Pastelaria Stavrose,Amora,-,0,15 € for two people (approx.),Cash and Debit Cards accepted,15
Snack Bar Metro e Vinte,Beato,3.2,2,8 € for two people (approx.),Cash only,8
